workload,D,variant,R,S,A,L,U,M,B,incomingPointerWrites,outgoingPointerWrites,endpointPointerWrites,W,Delta,SearchAmp,MutationAmp,stableEligible,stableRetained,meanNs,medianNs,p75Ns,p95Ns,p99BatchNs,variance,rme95Percent,opsPerSecond,wallTimeMs,batchIterations
local-swap,1,rotate,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,37.31030782063798,37.136650085449126,37.97330856323238,39.2719459533691,39.63798904418945,1.4304011807932286,1.7753409264677604,26802244.69889942,293.4201999999997,524288
local-swap,16,move,17,2,0,0,0,1,0,24,0,0,24,0,2,1,17,17,128.55804443359372,128.585052490234,131.8195343017578,133.2125091552734,133.9905242919921,10.973317033079088,1.4270900325132172,7778587.519791864,252.75539999999998,131072
local-swap,16,rotate,17,9,0,0,0,1,1,30,0,0,30,0,9,1,17,17,134.6980285644531,133.23135375976554,140.53688049316418,143.40263366699253,144.30796813964835,37.67835456944675,2.5238665740000754,7424013.630025025,264.8271,131072
local-swap,31,move,32,2,0,0,0,1,0,39,0,0,39,0,2,1,32,32,174.73602294921878,175.52642822265662,179.20112609863253,183.1749725341796,183.61375427246085,38.880885113029755,1.9763656254231585,5722918.39497009,343.5450000000001,131072
local-swap,31,rotate,32,9,0,0,0,1,1,45,0,0,45,0,9,1,32,32,237.43713378906253,234.80834960937486,239.64195251464815,251.90307617187494,257.1402587890624,66.15439968715687,1.8971968387991989,4211641.136505602,466.82040000000006,131072
local-swap,32,move,33,2,0,0,0,1,0,40,0,0,40,0,2,1,33,33,201.39943440755215,190.463256835938,197.66845703125077,262.4743652343751,284.12207031249994,1044.32739961581,8.886725318686025,4965257.240873869,395.9674000000001,131072
local-swap,32,rotate,33,9,0,0,0,1,1,46,0,0,46,0,9,1,33,33,289.51339721679676,252.16369628906256,314.27268981933577,423.37455749511736,441.6542816162107,4471.925407831012,12.792642899758775,3454071.5891332948,569.2064999999998,131072
local-swap,33,move,34,2,0,0,0,1,0,41,0,0,41,0,2,1,34,34,185.3181966145834,187.53662109374966,189.16397094726574,194.07379150390645,196.6449584960938,44.94605614759421,2.003592496972206,5396124.17057865,364.3504000000001,131072
local-swap,33,rotate,34,9,0,0,0,1,1,47,0,0,47,0,9,1,34,34,250.33309936523423,251.6357421874999,254.8503875732422,259.49279785156233,261.3419189453125,46.56216527135823,1.5096628730256678,3994677.5018392876,492.1748999999997,131072
local-swap,64,move,65,2,0,0,0,1,0,72,0,0,72,0,2,1,65,65,344.4302368164065,324.5758056640638,332.6286315917973,474.53033447265614,536.621154785156,4377.321138977991,10.638602970842133,2903345.5635111253,338.58870000000024,65536
