workload,D,variant,linksTraversed,edgeAllocations,edgeLinks,edgeUnlinks,edgeMoves,callbackDependencyReads,stableEdgesEligible,stableEdgesRetained,dependencyDelta,physicalMutations,totalAmplification,mutationAmplification,mean,median,p75,p95,p99,variance,rme95Percent,opsPerSecond,batchIterations,wallTimeMs
stable,1024,after,1025,0,0,0,0,1025,1025,1025,0,0,1025,0,5125.826822916668,5079.69970703126,5179.479980468748,5481.246337890627,5812.577392578127,64611.09460393654,2.746447407174304,195090.47701907842,8192,629.8616000000001
stable,4096,before,4097,0,0,0,0,4097,4097,4097,0,0,4097,0,23311.953125000004,23237.988281249898,24188.525390624938,25230.273437500044,25330.351562500073,1916385.5032240113,3.2888528620860917,42896.44864323224,1024,358.07160000000005
stable,4096,after,4097,0,0,0,0,4097,4097,4097,0,0,4097,0,23769.59635416669,24217.57812500003,25027.587890625007,25505.185546875065,25701.349609375062,2281993.276959331,3.5197923294770277,42070.550340864545,1024,365.10100000000034
alternating,0,before,9,1,1,1,0,2,1,1,2,2,3.6666666666666665,0.6666666666666666,66.5070215861003,66.78943634033217,68.41926574707024,69.8057556152344,70.10739135742196,5.72092254082064,1.9918067588390753,15036006.366717165,524288,523.0325000000003
alternating,0,after,8,1,1,1,0,2,1,1,2,2,3.3333333333333335,0.6666666666666666,64.83804066975907,64.56470489501945,66.98570251464844,68.79278182983391,70.06928634643526,6.81788436313124,2.230368382674801,15423044.707555564,524288,509.9070999999996
alternating,1,before,16,1,1,1,1,3,2,2,2,3,6.333333333333333,1,84.61713155110678,82.39212036132825,87.03784942626943,91.66267395019538,92.70387268066409,14.729570569692067,2.5119929181679286,11817937.829717416,262144,332.7281000000001
alternating,1,after,14,1,1,1,1,3,2,2,2,3,5.666666666666667,1,79.8462422688802,78.80134582519517,81.42280578613276,84.26918029785158,84.67976379394524,6.788544142008768,1.8072386586276765,12524070.909092069,262144,313.9682
alternating,16,before,106,1,1,1,16,18,17,17,2,18,41.333333333333336,6,321.9738769531254,318.58062744140585,332.69882202148494,346.71279907226665,351.9414367675786,258.1977814968151,2.763995191269554,3105842.0312328166,65536,316.5132000000004
alternating,16,after,89,1,1,1,16,18,17,17,2,18,35.666666666666664,6,304.6089680989582,297.4472045898444,318.03131103515625,326.04537963867193,330.8536071777335,195.08507730262053,2.539516311138215,3282897.434835636,65536,299.44279999999986
alternating,31,before,163,32,32,32,0,33,32,1,2,64,75.66666666666667,21.333333333333332,830.265096028646,820.7977294921905,844.2169189453141,884.4589233398443,907.8463745117181,1176.733022644423,2.288252032787723,1204434.5893657773,32768,408.0919
